priority_rank,trial_id,reason,period_title,arm_id,predicted_graph_weight,risk_percentile,risk_tier,action_hint,intervention_plan,queue_date,due_date,owner,status,outreach_channel,followup_outcome,notes
1804,NCT00332488,Adverse Event,Initial Treatment Phase (Weeks 0 - 12),FG002,0.0656521088621943,0.9199271661411378,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1805,NCT00121667,Subject Withdrew Consent,Short Term (ST) + Long Term (LT) Period,FG003,0.0655473269086903,0.9198827552515876,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1806,NCT00429364,Underwent aortic root surgery,Overall Study,FG001,0.0655432258122024,0.9198383443620376,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1807,NCT01568866,Death,Overall Study,FG001,0.0655351250719336,0.9197939334724876,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1808,NCT00507416,Other,Overall Study,FG001,0.0655149163654265,0.9197495225829372,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1809,NCT00433966,Lost to Follow-up,Stent Intervention/Randomization,FG002,0.0654993647654464,0.9197051116933872,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1810,NCT00558259,Withdrawal by Subject,Overall Study,FG001,0.065497003180652,0.9196607008038372,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1811,NCT01539083,Death,After Randomization (TP and VTP),FG001,0.0653974556820734,0.919616289914287,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1812,NCT01539083,Progressive Disease,After Randomization (TP and VTP),FG001,0.0653905220641567,0.9195718790247368,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1813,NCT00734474,Withdrawal by Subject,Overall Study,FG007,0.0653730458209027,0.9195274681351868,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1814,NCT03683030,Lost to Follow-up,Overall Study,FG001,0.0653567413871312,0.9194830572456366,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1815,NCT00434954,Subject decision,Overall Study,FG001,0.0653457717115376,0.9194386463560864,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1816,NCT00168818,Other,Overall Study,FG002,0.065345230638787,0.9193942354665364,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1817,NCT02586155,Withdrawal by Subject,Overall Study,FG000,0.0653418778221725,0.9193498245769864,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1818,NCT02324569,Voluntary Withdrawal,Overall Study,FG001,0.0653075824112219,0.919305413687436,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1819,NCT04788511,Lost to Follow-up,Overall Study,FG001,0.0652982473588988,0.919261002797886,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1820,NCT01698775,Withdrawal by Subject,Phase B,FG000,0.0652842808932936,0.919216591908336,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1821,NCT01798706,Adverse Event,Overall Study,FG001,0.0652837421522718,0.9191721810187858,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1822,NCT01032629,Lost to Follow-up,Overall Study,FG000,0.0652823552501487,0.9191277701292356,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1823,NCT00090519,Lost to Follow-up,Overall Study,FG001,0.0652510817474332,0.9190833592396856,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1824,NCT00090519,Withdrawal by Subject,Overall Study,FG001,0.0652161750437923,0.9190389483501354,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1825,NCT03285594,At the Participant's Own Request,Overall Study,FG000,0.0652050681697321,0.9189945374605852,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1826,NCT02419612,Withdrawal by Subject,Long-term Treatment Period,FG000,0.0651974765420535,0.9189501265710353,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1827,NCT01818752,Non-compliance,Overall Study,FG001,0.0651805144265593,0.918905715681485,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1828,NCT02033889,Withdrawal by Subject,Overall Study,FG002,0.0651336075214286,0.918861304791935,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1829,NCT00860262,Adverse Event,Overall Study,FG000,0.0651335550003842,0.9188168939023847,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1830,NCT02963935,Lost to Follow-up,Overall Study,FG001,0.0651286958499108,0.9187724830128348,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1831,NCT00129545,Lost to Follow-up,Overall Study,FG001,0.0650884066696663,0.9187280721232848,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1832,NCT00305604,Lack of Efficacy,Overall Study,FG000,0.0650236181770309,0.9186836612337343,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1833,NCT01102426,Physician Decision,Overall Study,FG001,0.0650165997815971,0.9186392503441844,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1834,NCT01698775,Adverse Event,Phase B,FG000,0.0650115977375198,0.9185948394546344,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1835,NCT02963922,Other,Overall Study,FG000,0.064937355408512,0.9185504285650842,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1836,NCT00838916,Lost to Follow-up,Follow-up Period (8 Weeks),FG001,0.0648672124678273,0.918506017675534,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1837,NCT02918279,Withdrawal by Subject,Overall Study,FG000,0.0648563028778572,0.918461606785984,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1838,NCT00839527,Lost to Follow-up,Follow-up Period (FUP) (8 Weeks),FG001,0.0648402314934523,0.9184171958964338,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1839,NCT02463071,Reason not specified,Overall Study,FG001,0.0648232829886507,0.9183727850068836,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1840,NCT02104804,Withdrawal by Subject,Overall Study,FG001,0.0647832208851587,0.9183283741173336,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1841,NCT00393718,Adverse Event,Overall Study,FG000,0.0647510122532142,0.9182839632277836,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1842,NCT00497146,Withdrawal by Subject,Treatment Period,FG001,0.0647097438766468,0.9182395523382332,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
1843,NCT01137812,Physician Decision,Overall Study,FG000,0.0646538395293714,0.9181951414486832,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
1844,NCT00479882,Clinical Adverse Event,Precrossover: Periods I/II (Weeks 1-12),FG000,0.0645910743373908,0.9181507305591332,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1845,NCT02963935,Adverse Event,Overall Study,FG001,0.0645846677246429,0.918106319669583,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
1846,NCT01958671,Lost to Follow-up,Overall Study,FG001,0.0645650035658946,0.9180619087800328,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
1847,NCT01652716,Lost to Follow-up,Overall Study,FG001,0.0645627964643155,0.9180174978904828,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
